"name","name-2"
"Lisbon","Tony Shaw"
"Kid","Aline Kay"
"Duffy","Tony Shaw"
"Shadow","John White"
"Opal","Ann Beech"
"Sand","Julie Lee"
"Kaylee","Tony Shaw"
"Elmo","Julie Lee"
"Fang","Mary Howe"
"Dino","Aline Kay"
"Elory","Susan Brand"
"Ollie","John White"
"Epcot","Susan Brand"
"Elvis","Tony Shaw"
"Enzo","Joe Keogh"
"Snake","Aline Kay"
"Fatso","Ann Beech"
"Link","Tina Murphy"
"Tilly","Joe Keogh"
"Seak","Mary Howe"
"Sake","John White"
"Paco","John White"
"Molly","Ann Beech"
"Loony","Aline Kay"
"Dew","Julie Lee"
"Dice","Julie Lee"
"Nappa","David Ford"
"Otto","Joe Keogh"
"Face","Mary Howe"
"Laser","Mary Howe"
"Kool","Susan Brand"
"Minty","Aline Kay"
"Lupin","Julie Lee"
"Peekaboo","David Ford"
"Toto","Tony Shaw"
"Lali","Tina Murphy"
"Bertie","Joe Keogh"
"Nacho","Mary Howe"
"Tammy","John White"
"Bratwurst","Ann Beech"
"Leila","Susan Brand"
"Taboo","Aline Kay"
"Theo","Julie Lee"
"Tar","David Ford"
"Onyx","Tony Shaw"
"Tess","Tina Murphy"
"Duncan","Mary Howe"
"McDuff","John White"
"Ginny","Ann Beech"
"Amber","Susan Brand"
"Maya","Aline Kay"
"Oink","David Ford"
"Lola","Tony Shaw"
"Alfie","Tina Murphy"
"Dodo","Joe Keogh"
"Divot","Mary Howe"
"Dali","John White"
"Lobo","Susan Brand"
"Tang","Aline Kay"
"Dizzy","Julie Lee"
"Kiddo","David Ford"
"Dave","Tony Shaw"
"Wors","Tina Murphy"
"Helga","Joe Keogh"
"Pippa","Joe Keogh"
"Lucas","Mary Howe"
"Major","John White"
"Hamlet","Julie Lee"
"Dai","Mary Howe"
"Caesar","Tony Shaw"
"Shem","Tina Murphy"
"Tod","Joe Keogh"
"Evan","John White"
"Sage","David Ford"
"Tamarind","Mary Howe"
"Tuck","Susan Brand"
"Fancy","Aline Kay"
"Fifi","Julie Lee"
"Dash","Susan Brand"
"Kiwi","Ann Beech"
"Kay","Tina Murphy"
"Lady","John White"
"Roger","Joe Keogh"
"Walter","Susan Brand"
"Blossom","David Ford"
"Zoom","Aline Kay"
"Didi","Julie Lee"
"Quintin","Ann Beech"
